Вольтаж,pH,Температура,Влажность,набор_воды,сброс_воды
2.28,8.00,26.20,30.80,0,1
2.29,8.00,26.20,30.60,0,1
2.29,8.00,26.20,30.60,0,1
2.29,8.00,26.20,30.50,0,1
2.29,8.00,26.20,30.50,0,1
2.29,8.00,26.20,30.40,0,1
2.29,8.00,26.20,30.40,0,1
2.29,8.00,26.20,30.40,0,1
2.29,8.01,26.30,30.60,0,1
2.29,8.01,26.20,30.60,0,1
2.29,8.01,26.20,30.70,0,1
2.29,8.01,26.20,30.70,0,1
2.29,8.01,26.20,30.80,0,1
2.29,8.01,26.20,30.80,0,1
2.29,8.01,26.20,30.90,0,1
2.29,8.02,26.20,30.90,0,1
2.29,8.02,26.30,30.90,0,1
2.29,8.02,26.30,30.70,0,1
2.29,8.02,26.30,30.50,0,1
2.29,8.02,26.30,30.50,0,1
2.29,8.02,26.30,30.30,0,1
2.29,8.02,26.20,30.30,0,1
2.29,8.02,26.30,30.40,0,1
2.29,8.02,26.20,30.30,0,1
2.29,8.03,26.30,30.30,0,1
2.29,8.03,26.20,30.10,0,1
2.29,8.03,26.20,30.10,0,1
2.29,8.03,26.30,30.10,0,1
2.30,8.03,26.30,30.10,0,1
2.30,8.03,26.30,30.10,0,1
2.30,8.03,26.30,30.00,0,1
2.30,8.04,26.20,30.00,0,1
2.30,8.04,26.20,29.90,0,1
2.30,8.04,26.30,30.00,0,1
2.30,8.04,26.30,30.10,0,1
2.30,8.04,26.30,30.30,0,1
2.30,8.04,26.30,30.60,0,1
2.30,8.04,26.20,30.60,0,1
2.30,8.04,26.30,30.50,0,1
2.30,8.04,26.30,30.40,0,1
2.30,8.05,26.30,30.30,0,1
2.30,8.05,26.30,30.20,0,1
2.30,8.05,26.20,30.10,0,1
2.30,8.05,26.20,30.10,0,1
2.30,8.05,26.30,30.20,0,1
2.30,8.05,26.30,30.10,0,1
2.30,8.05,26.30,30.10,0,1
2.30,8.05,26.30,30.10,0,1
2.30,8.05,26.30,30.60,0,1
2.30,8.05,26.20,30.90,0,1
2.30,8.06,26.30,30.90,0,1
2.30,8.06,26.20,30.60,0,1
2.30,8.06,26.20,30.50,0,1
2.30,8.06,26.30,30.50,0,1
